"","v4_gene_model","v3_gene_model","V1"
"28365","Zm00001d032649","GRMZM2G014676","MSTRG.6389"
"28368","Zm00001d032650","GRMZM2G317021","MSTRG.6391"
"28369","Zm00001d032651","GRMZM2G162758","MSTRG.6387"
"28370","Zm00001d032652","GRMZM2G459291","MSTRG.6388"
"28374","Zm00001d032653","GRMZM2G459290","MSTRG.6386"
"28375","Zm00001d032654","AC199893.4_FG002","MSTRG.6455"
"28376","Zm00001d032655","GRMZM2G413853","MSTRG.6456"
"28377","Zm00001d032656","GRMZM2G113781","MSTRG.6458"
"28379","Zm00001d032658","GRMZM2G153336","MSTRG.6460"
"28380","Zm00001d032659","GRMZM2G079428","MSTRG.6461"
"28384","Zm00001d032661","GRMZM2G380665","MSTRG.6453"
"28387","Zm00001d032662","GRMZM2G380650","MSTRG.6462"
"28388","Zm00001d032663","GRMZM2G380668","MSTRG.6463"
"28389","Zm00001d032664","GRMZM2G404443","MSTRG.6465"
"28394","Zm00001d032666","AC192362.3_FG002","MSTRG.6466"
"28395","Zm00001d032666","AC192362.3_FG003","MSTRG.6466"
"28397","Zm00001d032668","GRMZM2G131577","MSTRG.6469"
"28398","Zm00001d032669","GRMZM2G131683","MSTRG.6464"
"28399","Zm00001d032670","GRMZM2G131723","MSTRG.6472"
"28401","Zm00001d032671","GRMZM2G131815","MSTRG.6473"
"28402","Zm00001d032672","GRMZM2G431412","MSTRG.6475"
"28403","Zm00001d032674","GRMZM2G131873","MSTRG.6477"
"28404","Zm00001d032677","GRMZM2G428673","MSTRG.6483"
"28405","Zm00001d032679","GRMZM2G027462","MSTRG.6474"
"28406","Zm00001d032681","GRMZM2G469551","MSTRG.6482"
"28411","Zm00001d032683","GRMZM2G153233","MSTRG.6486"
"28415","Zm00001d032685","GRMZM2G069976","MSTRG.6488"
"28417","Zm00001d032686","GRMZM2G048434","MSTRG.6491"
"28418","Zm00001d032687","GRMZM2G048434","MSTRG.6492"
"28419","Zm00001d032688","GRMZM5G879665","MSTRG.6493"
"28420","Zm00001d032689","GRMZM2G165963","MSTRG.6494"
"28421","Zm00001d032691","GRMZM2G085974","MSTRG.6446"
"28422","Zm00001d032692","GRMZM2G042704","MSTRG.6447"
"28429","Zm00001d032693","GRMZM2G042598","MSTRG.6448"
"28431","Zm00001d032694","GRMZM2G147346","MSTRG.6451"
"28432","Zm00001d032695","GRMZM2G415359","MSTRG.6445"
"28435","Zm00001d032696","GRMZM2G081515","MSTRG.6452"
"28437","Zm00001d032699","GRMZM2G010362","MSTRG.6496"
"28438","Zm00001d032709","GRMZM2G448054","MSTRG.6506"
"28439","Zm00001d032710","GRMZM2G004996","MSTRG.6512"
"28440","Zm00001d032715","GRMZM2G054152","MSTRG.6519"
"28442","Zm00001d032716","GRMZM2G088245","MSTRG.6522"
"28443","Zm00001d032718","GRMZM2G164787","MSTRG.6523"
"28445","Zm00001d032721","GRMZM2G380286","MSTRG.6538"
"28447","Zm00001d032724","GRMZM2G150179","MSTRG.6543"
"28449","Zm00001d032725","GRMZM5G895188","MSTRG.6546"
"28450","Zm00001d032728","GRMZM2G167438","MSTRG.6551"
"28451","Zm00001d032729","GRMZM2G353043","MSTRG.6553"
"28452","Zm00001d032732","GRMZM2G116885","MSTRG.6558"
"28453","Zm00001d032734","GRMZM2G117763","MSTRG.6562"
"28456","Zm00001d032735","GRMZM2G399212","MSTRG.6564"
"28459","Zm00001d032736","GRMZM2G134747","MSTRG.6567"
"28460","Zm00001d032737","GRMZM2G165413","MSTRG.6569"
"28464","Zm00001d032739","AC198361.3_FG004","MSTRG.6572"
"28465","Zm00001d032741","GRMZM2G001699","MSTRG.6574"
"28466","Zm00001d032742","GRMZM2G001713","MSTRG.6575"
"28467","Zm00001d032744","GRMZM2G001764","MSTRG.6577"
"28468","Zm00001d032745","GRMZM2G001812","MSTRG.6578"
"28472","Zm00001d032747","GRMZM2G001845","Zm00001d032747"
"28473","Zm00001d032748","GRMZM2G001850","MSTRG.6561"
"28474","Zm00001d032753","GRMZM2G398198","MSTRG.6592"
"28475","Zm00001d032754","GRMZM2G097640","MSTRG.6590"
"28477","Zm00001d032760","GRMZM2G004057","MSTRG.6597"
"28478","Zm00001d032761","GRMZM2G004057","MSTRG.6589"
"28479","Zm00001d032763","GRMZM2G037698","MSTRG.6598"
"28480","Zm00001d032768","GRMZM2G133555","MSTRG.6601"
"28481","Zm00001d032771","GRMZM2G413482","MSTRG.6607"
"28482","Zm00001d032773","GRMZM2G023970","MSTRG.6610"
"28483","Zm00001d032775","GRMZM2G445905","MSTRG.6611"
"28489","Zm00001d032777","GRMZM2G062260","MSTRG.6614"
"28490","Zm00001d032781","GRMZM2G008607","MSTRG.6615"
"28495","Zm00001d032783","GRMZM2G351248","MSTRG.6580"
"28496","Zm00001d032784","GRMZM2G379656","Zm00001d032784"
"28497","Zm00001d032788","GRMZM2G116360","MSTRG.6583"
"28498","Zm00001d032789","GRMZM2G416120","MSTRG.6617"
"28502","Zm00001d032790","GRMZM2G116526","MSTRG.6620"
"28503","Zm00001d032792","GRMZM2G069357","MSTRG.6624"
"28504","Zm00001d032794","GRMZM2G075492","MSTRG.6626"
"28505","Zm00001d032798","GRMZM2G124301","MSTRG.6631"
"28506","Zm00001d032801","GRMZM2G049766","MSTRG.6638"
"28507","Zm00001d032804","GRMZM2G020295","MSTRG.6635"
"28508","Zm00001d032805","GRMZM2G020974","MSTRG.6637"
"28510","Zm00001d032806","GRMZM2G472060","MSTRG.6634"
"28511","Zm00001d032807","GRMZM2G170699","MSTRG.6633"
"28512","Zm00001d032809","GRMZM2G389570","MSTRG.6641"
"28513","Zm00001d032810","GRMZM2G144782","MSTRG.6657"
"28516","Zm00001d032811","GRMZM5G809265","MSTRG.6659"
"28517","Zm00001d032812","GRMZM5G891371","MSTRG.6658"
"28518","Zm00001d032813","GRMZM2G386914","MSTRG.6660"
"28519","Zm00001d032815","GRMZM2G115646","MSTRG.6664"
"28520","Zm00001d032815","GRMZM2G115646","MSTRG.6661"
"28531","Zm00001d032819","GRMZM2G118433","MSTRG.6667"
"28533","Zm00001d032821","GRMZM2G118173","MSTRG.6670"
"28534","Zm00001d032822","GRMZM2G029518","MSTRG.6671"
"28535","Zm00001d032825","GRMZM2G067315","MSTRG.6668"
"28537","Zm00001d032828","GRMZM2G060742","MSTRG.6677"
"28540","Zm00001d032830","GRMZM2G053764","MSTRG.6678"
"28544","Zm00001d032832","GRMZM2G365731","MSTRG.6686"
"28546","Zm00001d032836","GRMZM2G001606","MSTRG.6643"
"28547","Zm00001d032838","GRMZM2G001577","MSTRG.6649"
"28548","Zm00001d032839","GRMZM2G383425","MSTRG.6646"
"28549","Zm00001d032843","GRMZM2G094988","MSTRG.6650"
"28550","Zm00001d032849","GRMZM2G148908","MSTRG.6656"
"28552","Zm00001d032850","GRMZM2G154090","MSTRG.6688"
"28555","Zm00001d032852","GRMZM5G836588","MSTRG.6690"
"28556","Zm00001d032854","GRMZM2G130904","MSTRG.6693"
"28557","Zm00001d032855","GRMZM2G430675","MSTRG.6694"
"28558","Zm00001d032857","GRMZM2G152901","MSTRG.6687"
"28562","Zm00001d032858","GRMZM2G016922","Zm00001d032858"
"28564","Zm00001d032859","GRMZM2G036765","MSTRG.6696"
"28567","Zm00001d032866","GRMZM2G173315","MSTRG.6704"
"28568","Zm00001d032867","GRMZM2G003724","MSTRG.6722"
"28570","Zm00001d032870","GRMZM5G820163","MSTRG.6720"
"28571","Zm00001d032873","GRMZM2G008290","MSTRG.6721"
"28572","Zm00001d032875","GRMZM2G076597","MSTRG.6720"
"28573","Zm00001d032883","GRMZM2G332412","Zm00001d032883"
"28574","Zm00001d032887","GRMZM2G115988","MSTRG.6712"
"28575","Zm00001d032888","GRMZM2G414791","MSTRG.6718"
"28576","Zm00001d032889","GRMZM2G115998","MSTRG.6719"
"28577","Zm00001d032893","GRMZM2G352627","MSTRG.6716"
"28578","Zm00001d032894","GRMZM2G118917","MSTRG.6739"
"28581","Zm00001d032896","GRMZM2G038833","MSTRG.6743"
"28585","Zm00001d032897","GRMZM2G038898","MSTRG.6744"
"28586","Zm00001d032898","GRMZM2G463445","MSTRG.6747"
"28587","Zm00001d032899","GRMZM2G017388","MSTRG.6748"
"28589","Zm00001d032900","GRMZM2G164018","MSTRG.6750"
"28592","Zm00001d032901","GRMZM2G327605","MSTRG.6752"
"28594","Zm00001d032902","GRMZM2G119521","MSTRG.6751"
"28597","Zm00001d032903","GRMZM2G095452","MSTRG.6755"
"28599","Zm00001d032904","GRMZM2G000536","MSTRG.6756"
"28603","Zm00001d032905","GRMZM2G000540","MSTRG.6749"
"28604","Zm00001d032906","GRMZM2G046700","Zm00001d032906"
"28605","Zm00001d032908","AC195307.3_FG001","MSTRG.6736"
"28606","Zm00001d032909","GRMZM2G164761","MSTRG.6735"
"28609","Zm00001d032911","GRMZM2G164715","MSTRG.6737"
"28611","Zm00001d032916","GRMZM2G312165","MSTRG.6773"
"28612","Zm00001d032918","AC214267.3_FG004","MSTRG.6769"
"28613","Zm00001d032919","GRMZM2G108396","MSTRG.6774"
"28614","Zm00001d032921","GRMZM5G813143","MSTRG.6776"
"28615","Zm00001d032922","GRMZM2G011357","MSTRG.6778"
"28620","Zm00001d032923","GRMZM2G010871","MSTRG.6779"
"28623","Zm00001d032925","GRMZM5G827939","MSTRG.6781"
"28624","Zm00001d032926","GRMZM2G127421","MSTRG.6757"
"28627","Zm00001d032927","GRMZM2G453739","Zm00001d032927"
"28628","Zm00001d032929","GRMZM2G057173","Zm00001d032929"
"28629","Zm00001d032931","GRMZM2G068328","MSTRG.6760"
"28630","Zm00001d032932","GRMZM2G070673","MSTRG.6759"
"28631","Zm00001d032933","GRMZM2G324390","MSTRG.6762"
"28636","Zm00001d032934","GRMZM2G035664","MSTRG.6761"
"28637","Zm00001d032935","GRMZM2G017237","MSTRG.6767"
"28638","Zm00001d032937","GRMZM2G040821","MSTRG.6766"
"28639","Zm00001d032938","GRMZM2G343854","MSTRG.6768"
"28640","Zm00001d032939","GRMZM2G040387","MSTRG.6783"
"28645","Zm00001d032942","GRMZM2G110531","MSTRG.6788"
"28646","Zm00001d032944","GRMZM2G005281","MSTRG.6789"
"28647","Zm00001d032945","GRMZM2G056989","MSTRG.6784"
"28648","Zm00001d032947","GRMZM2G162505","MSTRG.6794"
"28649","Zm00001d032948","GRMZM2G162508","MSTRG.6795"
"28650","Zm00001d032950","GRMZM2G124434","MSTRG.6787"
"28654","Zm00001d032955","GRMZM2G110681","MSTRG.6802"
"28655","Zm00001d032956","GRMZM2G071268","MSTRG.6806"
"28659","Zm00001d032961","GRMZM2G081554","MSTRG.6810"
"28666","Zm00001d032962","GRMZM2G012611","MSTRG.6813"
"28670","Zm00001d032967","GRMZM2G339203","MSTRG.6819"
"28671","Zm00001d032968","GRMZM2G035594","MSTRG.6821"
"28672","Zm00001d032969","GRMZM2G016241","MSTRG.6823"
"28674","Zm00001d032970","GRMZM2G119544","MSTRG.6824"
"28678","Zm00001d032971","GRMZM2G119496","MSTRG.6825"
"28679","Zm00001d032972","GRMZM2G064605","MSTRG.6828"
"28680","Zm00001d032973","GRMZM2G064590","MSTRG.6826"
"28683","Zm00001d032974","GRMZM2G520535","MSTRG.6829"
"28684","Zm00001d032976","GRMZM5G887426","MSTRG.6831"
"28685","Zm00001d032977","GRMZM5G807333","MSTRG.6832"
"28686","Zm00001d032978","GRMZM2G084513","MSTRG.6833"
"28687","Zm00001d032979","GRMZM2G118467","MSTRG.6839"
"28688","Zm00001d032980","GRMZM2G326677","MSTRG.6838"
"28689","Zm00001d032981","GRMZM2G168222","MSTRG.6844"
"28691","Zm00001d032989","GRMZM2G382077","MSTRG.6853"
"28692","Zm00001d032991","GRMZM2G147402","MSTRG.6861"
"28694","Zm00001d032992","GRMZM2G019411","MSTRG.6849"
"28696","Zm00001d032993","GRMZM2G093708","MSTRG.6864"
"28697","Zm00001d032994","GRMZM2G115772","MSTRG.6863"
"28700","Zm00001d032999","GRMZM2G138455","MSTRG.6842"
"28701","Zm00001d033002","GRMZM2G009591","MSTRG.6875"
"28703","Zm00001d033003","GRMZM2G104024","MSTRG.6880"
"28704","Zm00001d033004","GRMZM2G125762","MSTRG.6881"
"28705","Zm00001d033005","GRMZM2G097349","MSTRG.6883"
"28707","Zm00001d033008","AC199175.2_FG006","MSTRG.6885"
"28708","Zm00001d033011","GRMZM2G083248","MSTRG.6890"
"28710","Zm00001d033012","GRMZM2G019171","MSTRG.6891"
"28711","Zm00001d033015","AC195608.3_FG005","MSTRG.6866"
"28712","Zm00001d033017","GRMZM2G020073","MSTRG.6871"
"28713","Zm00001d033018","GRMZM2G409133","MSTRG.6872"
"28715","Zm00001d033019","GRMZM2G157806","MSTRG.6873"
"28716","Zm00001d033020","GRMZM2G167986","MSTRG.6874"
"28717","Zm00001d033023","GRMZM2G108463","MSTRG.6898"
"28719","Zm00001d033024","GRMZM2G108514","MSTRG.6904"
"28720","Zm00001d033025","GRMZM2G044550","MSTRG.6893"
"28721","Zm00001d033028","GRMZM2G444692","MSTRG.6909"
"28722","Zm00001d033030","GRMZM2G320085","Zm00001d033030"
"28723","Zm00001d033032","GRMZM2G340739","Zm00001d033032"
"28724","Zm00001d033035","GRMZM2G173732","MSTRG.6913"
"28725","Zm00001d033037","GRMZM2G150169","MSTRG.6916"
"28729","Zm00001d033039","GRMZM2G120085","MSTRG.6919"
"28733","Zm00001d033040","GRMZM2G125140","MSTRG.6920"
"28734","Zm00001d033044","GRMZM2G070825","MSTRG.6922"
"28735","Zm00001d033046","GRMZM2G146994","MSTRG.6923"
"28736","Zm00001d033047","GRMZM2G024705","MSTRG.6924"
"28737","Zm00001d033048","GRMZM2G024680","MSTRG.6920"
"28738","Zm00001d033049","GRMZM2G145458","MSTRG.6920"
"28739","Zm00001d033053","GRMZM2G083156","MSTRG.6931"
"28740","Zm00001d033054","GRMZM2G083091","MSTRG.6932"
"28741","Zm00001d033055","GRMZM2G174574","MSTRG.6937"
"28742","Zm00001d033056","GRMZM2G174549","MSTRG.6938"
"28743","Zm00001d033058","GRMZM2G139744","MSTRG.6942"
"28744","Zm00001d033060","GRMZM5G803556","MSTRG.6936"
"28745","Zm00001d033063","GRMZM2G031938","MSTRG.6945"
"28746","Zm00001d033064","GRMZM2G461548","MSTRG.6952"
"28747","Zm00001d033065","GRMZM2G073192","MSTRG.6953"
"28750","Zm00001d033068","GRMZM2G455817","MSTRG.6957"
"28758","Zm00001d033072","GRMZM2G013832","MSTRG.6959"
"28759","Zm00001d033074","AC217264.3_FG001","MSTRG.6962"
"28760","Zm00001d033075","AC217264.3_FG005","MSTRG.6965"
"28761","Zm00001d033077","GRMZM2G152419","MSTRG.6972"
"28762","Zm00001d033078","GRMZM2G105256","MSTRG.6974"
"28763","Zm00001d033079","GRMZM2G105189","MSTRG.6975"
"28764","Zm00001d033080","GRMZM2G158831","MSTRG.6977"
"28765","Zm00001d033082","GRMZM2G077428","MSTRG.6978"
"28767","Zm00001d033084","GRMZM2G105971","MSTRG.6979"
"28768","Zm00001d033087","GRMZM2G176905","MSTRG.6984"
"28769","Zm00001d033088","GRMZM2G010831","MSTRG.6985"
"28770","Zm00001d033090","GRMZM2G011078","MSTRG.6986"
"28774","Zm00001d033091","GRMZM2G011269","MSTRG.6983"
"28775","Zm00001d033092","GRMZM2G011559","MSTRG.6988"
"28776","Zm00001d033093","GRMZM2G011832","MSTRG.6989"
"28777","Zm00001d033094","GRMZM2G011912","MSTRG.6990"
"28778","Zm00001d033097","GRMZM2G012071","MSTRG.6993"
"28779","Zm00001d033098","GRMZM2G012119","MSTRG.6987"
"28780","Zm00001d033099","GRMZM2G013600","MSTRG.6982"
"28782","Zm00001d033104","GRMZM2G146819","MSTRG.7021"
"28789","Zm00001d033105","GRMZM2G146818","MSTRG.7024"
"28790","Zm00001d033106","AC201898.4_FG004","MSTRG.7025"
"28791","Zm00001d033109","GRMZM2G146486","MSTRG.7028"
"28795","Zm00001d033110","GRMZM2G034417","MSTRG.7031"
"28796","Zm00001d033111","GRMZM2G034503","MSTRG.7032"
"28797","Zm00001d033112","GRMZM2G034828","MSTRG.7033"
"28800","Zm00001d033117","GRMZM2G007369","MSTRG.7038"
"28801","Zm00001d033121","GRMZM2G395375","Zm00001d033121"
"28802","Zm00001d033128","GRMZM2G027451","MSTRG.7010"
"28803","Zm00001d033129","GRMZM2G441489","MSTRG.7011"
"28806","Zm00001d033130","GRMZM2G140602","MSTRG.7013"
"28809","Zm00001d033132","GRMZM2G414192","MSTRG.7016"
"28810","Zm00001d033135","GRMZM2G414215","MSTRG.7010"
"28811","Zm00001d033138","GRMZM2G034217","MSTRG.7020"
"28813","Zm00001d033139","GRMZM2G120621","MSTRG.7006"
"28815","Zm00001d033140","GRMZM2G075330","MSTRG.7046"
"28816","Zm00001d033142","GRMZM2G175417","MSTRG.7048"
"28817","Zm00001d033147","GRMZM2G110328","MSTRG.7051"
"28818","Zm00001d033148","GRMZM2G110304","MSTRG.7053"
"28819","Zm00001d033149","GRMZM2G110298","MSTRG.7056"
"28821","Zm00001d033150","GRMZM2G110294","MSTRG.7045"
"28822","Zm00001d033152","GRMZM2G171118","MSTRG.7042"
"28823","Zm00001d033153","GRMZM2G086138","MSTRG.7043"
"28825","Zm00001d033154","GRMZM2G153887","MSTRG.7060"
"28826","Zm00001d033155","GRMZM2G153928","MSTRG.7058"
"28827","Zm00001d033158","GRMZM2G417089","MSTRG.7064"
"28829","Zm00001d033159","GRMZM5G830403","MSTRG.7094"
"28830","Zm00001d033160","GRMZM2G129540","MSTRG.7095"
"28831","Zm00001d033166","GRMZM2G335814","MSTRG.7101"
"28833","Zm00001d033167","GRMZM2G383408","MSTRG.7104"
"28836","Zm00001d033168","GRMZM2G083437","MSTRG.7105"
"28838","Zm00001d033169","GRMZM2G532387","MSTRG.7107"
"28841","Zm00001d033170","GRMZM2G074193","MSTRG.7109"
"28843","Zm00001d033172","GRMZM2G074024","MSTRG.7111"
"28846","Zm00001d033174","GRMZM2G073725","MSTRG.7113"
"28848","Zm00001d033175","GRMZM2G393935","MSTRG.7114"
"28849","Zm00001d033180","GRMZM2G103773","MSTRG.7071"
"28850","Zm00001d033181","GRMZM2G103843","MSTRG.7075"
"28855","Zm00001d033186","GRMZM2G058057","MSTRG.7079"
"28860","Zm00001d033187","GRMZM2G058227","MSTRG.7083"
"28861","Zm00001d033188","GRMZM2G058244","MSTRG.7084"
"28862","Zm00001d033190","GRMZM2G172584","MSTRG.7086"
"28863","Zm00001d033192","GRMZM2G165005","MSTRG.7087"
"28864","Zm00001d033193","GRMZM2G466394","MSTRG.7089"
"28865","Zm00001d033194","GRMZM2G121293","MSTRG.7087"
"28866","Zm00001d033201","GRMZM2G026135","Zm00001d033201"
"28867","Zm00001d033204","GRMZM2G157470","MSTRG.7120"
"28872","Zm00001d033205","GRMZM2G157456","MSTRG.7122"
"28875","Zm00001d033206","GRMZM2G457370","MSTRG.7123"
"28878","Zm00001d033207","GRMZM2G457357","MSTRG.7124"
"28879","Zm00001d033208","GRMZM2G364127","MSTRG.7125"
"28880","Zm00001d033209","GRMZM2G065498","MSTRG.7126"
"28881","Zm00001d033210","GRMZM2G364069","MSTRG.7119"
"28883","Zm00001d033211","GRMZM2G038988","MSTRG.7128"
"28886","Zm00001d033213","GRMZM2G324276","MSTRG.7128"
"28888","Zm00001d033214","GRMZM2G023392","MSTRG.7133"
"28889","Zm00001d033215","GRMZM5G829103","MSTRG.7134"
"28891","Zm00001d033216","GRMZM2G318671","MSTRG.7135"
"28892","Zm00001d033217","GRMZM2G070323","MSTRG.7131"
"28894","Zm00001d033218","GRMZM2G113928","MSTRG.7136"
"28895","Zm00001d033219","AC213890.4_FG004","MSTRG.7118"
"28896","Zm00001d033221","GRMZM2G027991","MSTRG.7138"
"28900","Zm00001d033222","GRMZM2G014392","MSTRG.7142"
"28901","Zm00001d033223","GRMZM2G162931","MSTRG.7143"
"28902","Zm00001d033225","GRMZM2G127546","MSTRG.7152"
"28908","Zm00001d033227","GRMZM2G131012","MSTRG.7155"
"28909","Zm00001d033228","GRMZM2G080828","MSTRG.7151"
"28910","Zm00001d033229","GRMZM2G383338","MSTRG.7156"
"28911","Zm00001d033231","GRMZM5G859316","MSTRG.7158"
"28912","Zm00001d033232","GRMZM2G103657","MSTRG.7159"
"28913","Zm00001d033233","GRMZM2G103610","MSTRG.7160"
"28914","Zm00001d033234","GRMZM2G103559","MSTRG.7161"
"28916","Zm00001d033237","GRMZM2G044236","MSTRG.7163"
"28917","Zm00001d033240","GRMZM5G812926","MSTRG.7162"
"28918","Zm00001d033241","GRMZM5G805732","MSTRG.7148"
"28919","Zm00001d033244","GRMZM2G015005","MSTRG.7170"
"28920","Zm00001d033246","GRMZM2G423337","MSTRG.7169"
"28921","Zm00001d033247","GRMZM2G090217","MSTRG.7172"
"28923","Zm00001d033256","GRMZM2G414047","MSTRG.7185"
"28924","Zm00001d033259","GRMZM2G016602","MSTRG.7189"
"28928","Zm00001d033262","GRMZM2G173425","MSTRG.7192"
"28929","Zm00001d033265","GRMZM2G121570","Zm00001d033265"
"28931","Zm00001d033266","GRMZM2G113260","MSTRG.7195"
"28932","Zm00001d033267","GRMZM2G165042","MSTRG.7196"
"28934","Zm00001d033268","GRMZM2G087416","Zm00001d033268"
"28935","Zm00001d033269","AC207019.3_FG003","Zm00001d033269"
"28936","Zm00001d033271","GRMZM5G872578","MSTRG.7194"
"28937","Zm00001d033272","AC207347.3_FG005","MSTRG.7199"
"28938","Zm00001d033274","GRMZM2G366584","MSTRG.7201"
"28941","Zm00001d033275","GRMZM2G111269","MSTRG.7202"
"28944","Zm00001d033278","GRMZM2G355771","MSTRG.7206"
"28945","Zm00001d033279","GRMZM2G341410","MSTRG.7208"
"28946","Zm00001d033280","GRMZM2G039187","MSTRG.7209"
"28947","Zm00001d033283","GRMZM2G078178","MSTRG.7211"
"28951","Zm00001d033288","GRMZM2G423538","MSTRG.7221"
"28952","Zm00001d033291","GRMZM2G023347","MSTRG.7224"
"28954","Zm00001d033291","GRMZM2G070211","MSTRG.7224"
"28958","Zm00001d033291","GRMZM5G880069","MSTRG.7224"
"28959","Zm00001d033292","GRMZM2G070252","MSTRG.7225"
"28960","Zm00001d033294","GRMZM2G338693","MSTRG.7228"
"28961","Zm00001d033295","GRMZM2G112672","MSTRG.7229"
"28962","Zm00001d033296","GRMZM2G021055","MSTRG.7230"
"28967","Zm00001d033297","GRMZM2G342105","MSTRG.7231"
"28972","Zm00001d033300","GRMZM2G043191","MSTRG.7226"
"28976","Zm00001d033301","GRMZM2G043127","MSTRG.7235"
"28978","Zm00001d033303","GRMZM2G099056","MSTRG.7232"
"28980","Zm00001d033304","GRMZM2G099023","MSTRG.7238"
"28981","Zm00001d033309","GRMZM2G017089","MSTRG.7215"
"28985","Zm00001d033310","GRMZM2G039074","MSTRG.7217"
"28990","Zm00001d033312","GRMZM2G098084","MSTRG.7258"
"28991","Zm00001d033314","GRMZM2G088413","MSTRG.7261"
"28992","Zm00001d033315","GRMZM2G344521","MSTRG.7262"
"28993","Zm00001d033316","GRMZM2G472643","MSTRG.7259"
"28994","Zm00001d033318","GRMZM2G066234","MSTRG.7264"
"28995","Zm00001d033319","GRMZM2G366373","MSTRG.7265"
"28997","Zm00001d033320","GRMZM2G066067","MSTRG.7267"
"28998","Zm00001d033321","GRMZM2G141332","MSTRG.7268"
"29001","Zm00001d033322","GRMZM2G141379","MSTRG.7269"
"29004","Zm00001d033323","GRMZM2G445139","MSTRG.7266"
"29005","Zm00001d033324","GRMZM2G344521","MSTRG.7271"
"29006","Zm00001d033325","GRMZM2G045678","MSTRG.7275"
"29007","Zm00001d033327","GRMZM2G341460","MSTRG.7277"
"29008","Zm00001d033328","GRMZM2G038848","MSTRG.7278"
"29009","Zm00001d033330","GRMZM2G056303","MSTRG.7280"
"29010","Zm00001d033333","GRMZM2G051894","MSTRG.7287"
"29012","Zm00001d033334","GRMZM2G352695","MSTRG.7288"
"29013","Zm00001d033335","GRMZM2G154320","MSTRG.7290"
"29015","Zm00001d033337","GRMZM2G077131","MSTRG.7291"
"29016","Zm00001d033338","GRMZM2G077214","MSTRG.7281"
"29019","Zm00001d033339","GRMZM2G081915","MSTRG.7293"
"29020","Zm00001d033340","GRMZM2G081953","MSTRG.7294"
"29024","Zm00001d033341","GRMZM2G172555","MSTRG.7295"
"29025","Zm00001d033344","GRMZM2G172506","MSTRG.7298"
"29026","Zm00001d033345","GRMZM2G016875","MSTRG.7300"
"29029","Zm00001d033346","GRMZM2G017047","MSTRG.7301"
"29030","Zm00001d033347","GRMZM2G017319","MSTRG.7302"
"29031","Zm00001d033348","GRMZM2G438080","Zm00001d033348"
"29032","Zm00001d033353","GRMZM2G010100","Zm00001d033353"
"29034","Zm00001d033357","GRMZM2G329740","MSTRG.7252"
"29035","Zm00001d033362","GRMZM2G436785","MSTRG.7254"
"29036","Zm00001d033363","GRMZM2G082686","MSTRG.7256"
"29037","Zm00001d033365","GRMZM2G026346","MSTRG.7304"
"29038","Zm00001d033366","GRMZM2G025731","MSTRG.7308"
"29039","Zm00001d033367","GRMZM2G025680","MSTRG.7309"
"29040","Zm00001d033368","GRMZM2G150772","MSTRG.7307"
"29041","Zm00001d033369","GRMZM2G150688","MSTRG.7306"
"29042","Zm00001d033370","GRMZM2G003607","MSTRG.7329"
"29043","Zm00001d033371","GRMZM2G003640","MSTRG.7331"
"29047","Zm00001d033375","GRMZM2G415215","MSTRG.7333"
"29048","Zm00001d033378","GRMZM2G011588","MSTRG.7337"
"29054","Zm00001d033379","GRMZM2G163761","MSTRG.7338"
"29056","Zm00001d033380","GRMZM2G163796","MSTRG.7339"
"29057","Zm00001d033383","GRMZM2G027663","MSTRG.7334"
"29062","Zm00001d033385","GRMZM2G149024","MSTRG.7314"
"29063","Zm00001d033386","GRMZM2G149028","MSTRG.7315"
"29064","Zm00001d033388","GRMZM2G100448","MSTRG.7316"
"29065","Zm00001d033389","GRMZM2G118172","MSTRG.7317"
"29066","Zm00001d033391","GRMZM2G176235","MSTRG.7313"
"29067","Zm00001d033392","GRMZM2G357081","MSTRG.7323"
"29068","Zm00001d033394","GRMZM2G026176","MSTRG.7326"
"29069","Zm00001d033395","GRMZM2G323943","MSTRG.7321"
"29070","Zm00001d033396","GRMZM2G018414","MSTRG.7345"
"29073","Zm00001d033397","GRMZM2G050684","MSTRG.7346"
"29074","Zm00001d033401","GRMZM2G409093","MSTRG.7350"
"29076","Zm00001d033402","GRMZM2G106552","MSTRG.7349"
"29077","Zm00001d033404","GRMZM2G061101","MSTRG.7351"
"29080","Zm00001d033405","GRMZM2G177947","MSTRG.7353"
"29084","Zm00001d033411","GRMZM2G371839","MSTRG.7358"
"29085","Zm00001d033412","GRMZM2G155043","Zm00001d033412"
"29086","Zm00001d033414","GRMZM2G154890","MSTRG.7363"
"29088","Zm00001d033415","GRMZM2G107136","MSTRG.7365"
"29089","Zm00001d033419","GRMZM2G055037","MSTRG.7367"
"29090","Zm00001d033420","GRMZM2G319281","MSTRG.7368"
"29091","Zm00001d033421","GRMZM2G044762","MSTRG.7369"
"29092","Zm00001d033422","GRMZM2G045314","MSTRG.7370"
"29093","Zm00001d033423","GRMZM2G046101","MSTRG.7371"
"29095","Zm00001d033427","GRMZM2G045999","MSTRG.7374"
"29096","Zm00001d033428","GRMZM2G144813","MSTRG.7360"
"29097","Zm00001d033436","GRMZM2G704000","Zm00001d033436"
"29098","Zm00001d033446","GRMZM2G118821","MSTRG.7376"
"29099","Zm00001d033447","GRMZM2G067919","MSTRG.7378"
"29102","Zm00001d033448","GRMZM2G068024","MSTRG.7379"
"29105","Zm00001d033451","GRMZM2G369130","MSTRG.7381"
